,event_name,venue,neighborhood,start_date,start_time,end_date,end_time,all_day_event,category,event_cost,purchase_req,free,show_map_link,show_map,event_description,stage_time,event_website
374,Women's Only Open Mic ,Westside Comedy Theater,Westside/Santa Monica,2020-02-07,6:00 PM,2020-02-07,8:00 PM,False,Open Mic,$0,No,True,True,True,"

in alley between 3rd St. Promenade & 4th St.
For female performers only
Starts 6PM
3 min.
Lottery",3 min.,
48,Hollywood Improv Comedy Lab,Hollywood Improv Comedy Lab,Burbank/NoHo/Valley,2020-02-09,9:00 PM,2020-02-09,11:00 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 8:30PM
Sign-up cut off at 75 names in bucket
Starts 9PM
Ends 11PM
3 min. 
Lottery
Hosted by Ken Garr and Jeffrey Baldinger",3 min.,
121,Improv Jam,Westside Comedy Theater,Westside/Santa Monica,2020-02-10,11:00 PM,2020-02-10,11:59 PM,False,Improv Jam,$0,No,True,True,True,"

in alley between 3rd St. Promenade & 4th St.
For improv only
Starts 11PM
Anyone can play
Lottery",,
124,Universal Bar & Grill,Universal Bar & Grill,Burbank/NoHo/Valley,2020-02-10,11:30 PM,2020-02-10,1:00 AM,False,Open Mic,$0,No,True,True,True,"

Starts 11:30PM
First come, first served
7 min. 
Mixed in w/booked spots
Hosted by J Nihilist Gelo",7 min.,
189,HaHa Cafe,HaHa Cafe,Burbank/NoHo/Valley,2020-02-11,8:30 PM,2020-02-11,10:30 PM,False,Open Mic,$5,No,True,True,True,"

Starts 8:30PM
Lottery
$5 for 5 min.
$10 for 10 min.",5 min.,
262,HaHa Cafe,HaHa Cafe,Burbank/NoHo/Valley,2020-02-12,8:30 PM,2020-02-12,10:30 PM,False,Open Mic,$5,No,True,True,True,"

Starts 8:30PM
Lottery
$5 for 5 min.
$10 for 10 min.",5 min.,
333,HaHa Cafe,HaHa Cafe,Burbank/NoHo/Valley,2020-02-13,8:30 PM,2020-02-13,10:30 PM,False,Open Mic,$5,No,True,True,True,"

Starts 8:30PM
Lottery
$5 for 5 min.
$10 for 10 min.",5 min.,
395,HaHa Cafe,HaHa Cafe,Burbank/NoHo/Valley,2020-02-14,8:30 PM,2020-02-14,10:30 PM,False,Open Mic,$5,No,True,True,True,"

Starts 8:30PM
Lottery
$5 for 5 min.
$10 for 10 min.",5 min.,
453,HaHa Cafe,HaHa Cafe,Burbank/NoHo/Valley,2020-02-15,8:30 PM,2020-02-15,10:30 PM,False,Open Mic,$5,No,True,True,True,"

Starts 8:30PM
Lottery
$5 for 5 min.
$10 for 10 min.",5 min.,
167,Roy's Romper Room,Roy's Romper Room,DTLA,2020-02-18,7:30 PM,2020-02-18,9:30 PM,False,Open Mic,$0,No,True,True,True,"

Donations accepted
In #107
Sign up in advance at rogelio@artclickpro.com
Starts 7:30PM
Ends 9:30PM
10 min",10 min.,
230,TREE4ORT,TREE4ORT,Hollywood/East Hollywood,2020-02-19,6:00 PM,2020-02-19,7:00 PM,False,Open Mic,$4,No,True,True,True,"

Sign-up 5:30PM
Starts 6PM
Ends 7PM
7 min.
Hosted by Kyle Henson",7 min.,
246,Hot and Cool Cafe,Hot and Cool Cafe,South LA,2020-02-19,8:00 PM,2020-02-19,9:30 PM,False,Open Mic,$0,No,True,True,True,"

Donations accepted
Sign-up 7:45PM
Starts 8PM
Ends 9:30PM
First come, first served
5 min. 
w/option feedback
First come, first served
Hosted by Alexis Bradby",5 min.,
261,TREE4ORT,TREE4ORT,Hollywood/East Hollywood,2020-02-19,8:00 PM,2020-02-19,9:30 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up 7:30PM
Starts 8PM
Ends 9:30PM
7 min.
Hosted by Kyle Henson",7 min.,
342,Mi Corazon,Mi Corazon,Los Feliz/Silverlake/Echo Park,2020-02-20,10:30 PM,2020-02-22,12:30 AM,False,Open Mic,,1 item,True,True,True,"

Sign-up 9PM 
Starts 10:30PM after booked show 
20 spots only 
4 min. 
Hosted by Sara Mostajabi",4 min.,
310,The Clubhouse,The Clubhouse,Los Feliz/Silverlake/Echo Park,2020-02-20,7:00 PM,2020-02-20,8:00 PM,False,Open Mic,$0,No,True,True,True,"

Next to Jons
Upstairs
Sign-up 6:45PM-7PM
Starts 7PM
Ends 8PM
Lottery
5 min.
Hosted by Katie Nathan and Keenan Buchanan",5 min.,
311,Pacific Plate Brewing Company,Pacific Plate Brewing Company,San Gabriel Valley,2020-02-20,7:00 PM,2020-02-20,9:00 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 7PM-7:29PM
Starts 7:30PM
Ends 9PM-9:30PM
5 min.
Latecomers get 4 min.
Hosted by Paula Johnson and Scott Shimamoto",5 min.,
318,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-02-20,8:00 PM,2020-02-20,10:00 PM,False,Open Mic,,1 item,True,True,True,"

Starts 8PM
5 min.
First come, first served",5 min.,
349,(12-10PM Hourly) Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-02-21,12:00 PM,2020-02-21,10:00 PM,False,Open Mic,$5,No,True,True,True,"

*entrance located in rear, look for the red door
Sign-up in advance at https://slotted.co/fbmic
Mic runs every hour on the hour from 12PM-10PM (venue closes 11PM)
5 min.
Must be on time
Can only go up once per hour",5 min.,https://slotted.co/fbmic
386,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-02-21,8:00 PM,2020-02-21,10:00 PM,False,Open Mic,,1 item,True,True,True,"

Starts 8PM
Lottery
Mixed in w/booked spots
3-5 min.",3 min.,
410,(12-10PM Hourly) Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-02-22,12:00 PM,2020-02-22,10:00 PM,False,Open Mic,$5,No,True,True,True,"

*entrance located in rear, look for the red door
Sign-up in advance at https://slotted.co/fbmic
Mic runs every hour on the hour from 12PM-10PM (venue closes 11PM)
5 min.
Must be on time
Can only go up once per hour",5 min.,https://slotted.co/fbmic
456,Geeky Teas & Games,Geeky Teas & Games,Burbank/NoHo/Valley,2020-02-22,9:30 PM,2020-02-22,11:30 PM,False,Open Mic,$5,No,True,True,True,"

includes bottled water
Sign-up 9PM
Starts 9:30PM
5 min.
Lottery
Hosted by Dan Telfer",5 min.,
23,Silverlake Lounge,Silverlake Lounge,Los Feliz/Silverlake/Echo Park,2020-02-23,5:00 PM,2020-02-23,7:00 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 4:45PM
Starts 5PM
Lottery
3 min.
Hosted by Quincy Johnson II",3 min.,
34,Tribal Cafe,Tribal Cafe,Los Feliz/Silverlake/Echo Park,2020-02-23,7:00 PM,2020-02-23,10:00 PM,False,Open Mic,$5,No,True,True,True,"

$5 min. purchase
Sign-up 6:30PM
Starts 7PM
Ends 10PM
5 min.
First come, first served",5 min.,
120,Improv Jam,Westside Comedy Theater,Westside/Santa Monica,2020-02-24,11:00 PM,2020-02-24,11:59 PM,False,Improv Jam,$0,No,True,True,True,"

in alley between 3rd St. Promenade & 4th St.
For improv only
Starts 11PM
Anyone can play
Lottery
Diverse backgrounds encouraged",,
110,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-02-24,9:00 PM,2020-02-24,11:30 PM,False,Open Mic,,1 item,True,True,True,"

Starts 9PM
Ends 11:30PM
Lottery
4 min. (2 min. if you read notes)
Hosted by Al Bahmani, Sarah Fatemi, Victor Martinez Jr., and Mark Stevens",4 min.,
146,The Rec Room,The Rec Room,Orange County,2020-02-25,6:00 PM,2020-02-25,8:00 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 5:30PM
Starts 6PM
4 min.
Lottery
Hosted by Kenny Weber and Jason Rodriguez",4 min.,
242,The Open Mic Spot,The Open Mic Spot,South LA,2020-02-26,8:00 PM,2020-02-26,10:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in person or in advance at https://openmicspot.com/open-mic/ 
Starts 8PM
Ends 10PM
5 min.
All performers welcome (comedy, music, poetry)",5 min.,https://openmicspot.com/open-mic/
326,(7-9PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-02-27,7:00 PM,2020-02-27,10:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/therapeuticnoise
Mic runs every hour on the hour from 7PM-9PM (last mic ends 10PM)
6 min.
Must be on time
Must stay for whole hour",6 min.,https://slotted.co/therapeuticnoise
390,(8PM-12AM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-02-28,8:00 PM,2020-02-28,11:59 PM,False,Open Mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 8PM-12AM 
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
451,(8PM-12AM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-02-29,8:00 PM,2020-02-29,11:59 PM,False,Open Mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 8PM-12AM 
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
457,Santa Monica Playhouse,Santa Monica Playhouse,Westside/Santa Monica,2020-02-29,9:30 PM,2020-02-29,12:00 AM,False,Open Mic,$5,No,True,True,True,"

Not on Main Stage, in Other Theatre
Password to get in ""IN LIKE FLYNN’S TECH REHEARSAL""
Please DO NOT call the playhouse. This is a CLOSED TECH REHEARSAL.
If you have an questions please contact me on insta @flynnbeck17 or on facebook.com/waddywoowoo
Starts 9:30PM
Ends  Midnight
$5 for 5 min.
$10 for 10 min.
Hosted by Flynn Beck",5 min.,
47,Akbar,Akbar,Los Feliz/Silverlake/Echo Park,2020-03-01,9:00 PM,2020-03-01,10:30 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 8:45PM
Starts 9PM
5 min.
Hosted by Clark Jones and Will Miles",5 min.,
101,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-02,9:00 PM,2020-03-02,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 9PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
197,Musical Improv Jam,UCB Sunset Inner Sanctum,Hollywood/East Hollywood,2020-03-03,10:00 PM,2020-03-03,11:00 PM,False,Improv Jam,$0,No,True,True,True,"

Starts 10PM
For musical improv only
Anyone can play",,
149,(6-8PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-03,6:00 PM,2020-03-03,8:00 PM,False,Open Mic,$5,No,True,True,True,"

includes bottled water
Sign-up in advance at https://slotted.co/therapeuticnoise
Mic runs every hour on the hour from 6PM-8PM (last mic ends 9PM)
6 min.
Must be on time
Must stay for whole hour",6 min.,https://slotted.co/therapeuticnoise
185,Unseen Contemporary,Unseen Contemporary,WeHo/Fairfax/Beverly Hills,2020-03-03,8:00 PM,2020-03-03,10:00 PM,False,Open Mic,$0,No,True,True,True,"

Starts 8PM
Ends 10PM (followed by music until midnight)
Sign-up in advance at https://jokesandjamsla.com/
5 min.
Hosted by Kyle Todd",5 min.,https://jokesandjamsla.com/
193,The Whiskey,The Whiskey,Burbank/NoHo/Valley,2020-03-03,8:30 PM,2020-03-03,11:30 PM,False,Open Mic,$0,No,True,True,True,"

Starts 8:30PM
Lottery
3 min w/o purchase
5 min. w/purchase",3 min.,
179,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-03,9:00 PM,2020-03-03,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 9PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
222,North Hollywood Library,North Hollywood Library,Burbank/NoHo/Valley,2020-03-04,6:00 PM,2020-03-04,8:00 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 5:30PM
Starts 6PM
First come, first served
5 min., 6 min. w/library card
Hosted by Kenisha Bell",5 min.,
313,(6-9PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-04,6:00 PM,2020-03-04,10:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/therapeuticnoise
Mic runs every hour on the hour from 6PM-9PM (last mic ends 10PM)
6 min.
Must be on time
Must stay for whole hour",6 min.,https://slotted.co/therapeuticnoise
247,(7-9PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-04,7:00 PM,2020-03-04,9:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/therapeuticnoise
Mic runs every hour on the hour from 7PM-9PM (last mic ends 10PM)
6 min.
Must be on time
Must stay for whole hour",6 min.,https://slotted.co/therapeuticnoise
239,The Moth ,Senator Jones,Westside/Santa Monica,2020-03-04,7:30 PM,2020-03-04,9:30 PM,False,Storytelling Mic,$15,No,True,True,True,"

Storytelling only 
Doors open 7PM 
Starts 7:30PM sharp 
5 min. 
10 spots only 
Lottery 
On theme of ""challenge"" only 
Counts as entry into Moth Storyslam",5 min.,
340,Set List @ Pack Theater,Pack Theater,Hollywood/East Hollywood,2020-03-05,10:00 PM,2020-03-05,11:59 PM,False,Improvised stand-up mic,$0,No,True,True,True,"

Donations accepted
Set list of topic provided to improvise off of
Starts 10PM
Lottery
Mixed in with booked spots
Hosted by Jason Van Glass",,
309,Character Mic: A Character Open Mic for Characters @ UCB Sunset Inner Sanctum,UCB Sunset Inner Sanctum,Hollywood/East Hollywood,2020-03-05,7:00 PM,2020-03-05,8:00 PM,False,Character Mic,$0,No,True,True,True,"

Sign-up 6:50PM
Starts 7PM
For character bits only 
4 min. 
Hosted by Madeline Wager, Jason Kaye, and Henry Kaiser",4 min.,
319,Open Screen,Echo Park Film Center,Los Feliz/Silverlake/Echo Park,2020-03-05,8:00 PM,2020-03-05,10:00 PM,False,Open Screen,$5,,True,True,True,"

For screening short films, videos, etc. only 
Sign-up 7:30PM 
Starts 8PM 
Total run time must be 10 min. or less 
First come, first served 
Acceptable formats: DVD, VHS, mini-DV, DV-CAM, Super 8, standard 8mm, 16mm. ",10 min.,
337,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-05,9:00 PM,2020-03-05,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 9PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
405,Go Sketch Yourself @ Pack Theater,Pack Theater,Hollywood/East Hollywood,2020-03-06,11:30 PM,2020-03-06,1:30 AM,False,Open Mic,$0,No,True,True,True,"

Donations accepted
For sketches, characters, bits only (no stand-up or improv)
To submit, email GoSketchYourself@gmail.com by 5PM the Thurs. before show
Check-in 11:30AM 
Starts Midnight
Ends 1AM
5 min 
Hosted by Hunter Altman",5 min.,
382,Sabor y Cultura,Sabor y Cultura,Hollywood/East Hollywood,2020-03-06,7:00 PM,2020-03-06,9:00 PM,False,Open Mic,,1 drink,True,True,True,"

Sign-up 6:30PM
Starts 7PM
Ends 9PM
First come, first served
4 min.
Hosted by Jeff Maccubbin and Joe Clabby",4 min.,
394,Tao Comedy Studio,Tao Comedy Studio,Koreatown/Mid-City,2020-03-06,8:00 PM,2020-03-06,10:00 PM,False,Open Mic,$5,No,True,True,True,"

includes drink
Sign-up 7:30PM
Starts 8PM
5 min.
First come, first served
Hosted by Bobbie Oliver",5 min.,
459,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-07,10:30 PM,2020-03-07,11:30 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 10:30PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
418,(3PM-4PM Hourly) 10 Mins. The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-07,3:00 PM,2020-03-07,4:00 PM,False,Open Mic,$0,No,True,True,True,"

Upstairs, down the hall to the left (the brick door)
Sign-up in advance at https://slotted.co/m4l
Starts 3PM
Ends 4:45PM
10 min.
Must be on time",10 min.,https://slotted.co/m4l
420,(3PM-10PM Hourly) Bert's Back Room,Bert's Back Room,WeHo/Fairfax/Beverly Hills,2020-03-07,3:00 PM,2020-03-07,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 3PM-10PM (venue closes 11PM)
5 min.
Wait list for walk-ins and drop outs will be first come, first served
Hosted by Rachel Cuthbert",5 min.,https://slotted.co/bertsbackroom
421,(3PM-5PM Hourly) 10 Min Spots Bert's Back Room Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-07,3:00 PM,2020-03-07,6:00 PM,False,Open Mic,$8,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon
Across the hall from original Bert's Back Room
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 3PM-5PM (last 10 min. mic ends 6PM)
10 min.
Comic must be on time and stay for whole mic",10 min.,https://slotted.co/bertsbackroom
424,(4PM-7PM Hourly) Bert's Back Room Laugh Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-07,4:00 PM,2020-03-07,7:55 PM,False,Open Mic,$5,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon
Across the hall from original Bert's Back Room
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 4PM-7PM (last 5 min. mic ends 7:55PM)
5 min.
Wait list for walk-ins and drop outs will be first come, first served
Hosted by Rachel Cuthbert",5 min.,https://slotted.co/bertsbackroom
425,(4PM-7PM Hourly) The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-07,4:00 PM,2020-03-07,8:00 PM,False,Open Mic,$3,No,True,True,True,"

Upstairs, down the hall to the left (the brick door)
Sign-up in advance at https://slotted.co/m4l
Mic runs every hour on the hour from 3PM-7PM (last mic ends 8PM)
5 min.
Must be on time
Must stay for whole hour",5 min.,https://slotted.co/m4l
432,The Green Room,The Green Room,Orange County,2020-03-07,6:00 PM,2020-03-07,8:00 PM,False,Open Mic,$5 (includes drink),No,True,True,True,"

in Suite 204
Sign-up in advance at https://slotted.co/gr
Starts 6PM
5 min.
First come, first served
Hosted by Elyse Joseph",5 min.,https://slotted.co/gr
436,The Ruby LA,The Ruby LA,DTLA,2020-03-07,6:30 PM,2020-03-07,7:30 PM,False,Open Mic,$0,No,True,True,True,"

Starts 6:30PM
Ends 7:30PM
Sign-up in advance at https://therubyla.com/events/the-ruby-la-open-mic-2020-03-06/
5 min.
Limited 2-3 min. walk-up spots available",5 min.,https://therubyla.com/events/the-ruby-la-open-mic-2020-03-06/
442,Free Range Comedy,Free Range Comedy,Burbank/NoHo/Valley,2020-03-07,7:30 PM,2020-03-07,9:30 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up 7PM
Starts 7:30PM
10 min. max
All performers welcome (comedy, music, poetry, etc.)
Hosted by John Comstock",10 min.,
444,The Green Room,The Green Room,Orange County,2020-03-07,8:00 PM,2020-03-07,10:00 PM,False,Open Mic,$5,No,True,True,True,"

in Suite 204
includes drink
Sign-up in advance at https://slotted.co/gr
Starts 8PM
5 min.
First come, first served
Hosted by Elyse Joseph",5 min.,https://slotted.co/gr
52,Rainbow Bar & Grill,Rainbow Bar & Grill,WeHo/Beverly Hills/Fairfax,2020-03-08,10:00 PM,2020-03-08,11:59 PM,False,Open Mic,$0,1 item,True,True,True,"

in Upstairs Bar
Sign-up 9PM 
Starts 10PM
Ends 12AM
Lottery
Booked spots mixed in
5 min.
Best set of the night wins trophy
Hosted by Scott Blugrind",5 min.,
2,(1PM-6PM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-08,1:00 PM,2020-03-08,7:00 PM,False,Open Mic,$5,No,True,True,True,"includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 1PM-6PM (last mic ends at 7PM)
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
4,(1PM-12AM Hourly) 15 Mins. The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-08,1:00 PM,2020-03-08,11:59 PM,False,Open Mic,$12,No,True,True,True,"

in ""The Fancy Room"" (up front)
$12 (includes snacks & drinks)
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 1PM-12AM 
15 min.",15 min.,https://slotted.co/thehollywoodcomedy
9,(3PM-4PM Hourly) 10 Mins. The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-08,3:00 PM,2020-03-08,4:00 PM,False,Open Mic,$0,No,True,True,True,"

Upstairs, down the hall to the left (the brick door).
Sign-up in advance at https://slotted.co/m4l
Starts 3PM
Ends 4:45PM
10 min.
Must be on time",10 min.,https://slotted.co/m4l
11,(3PM-10PM Hourly) Bert's Back Room,Bert's Back Room,WeHo/Fairfax/Beverly Hills,2020-03-08,3:00 PM,2020-03-08,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon 
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 3PM-10PM (venue closes 11PM)
5 min.
Wait list for walk-ins and drop outs will be first come, first served
Hosted by Rachel Cuthbert",5 min.,https://slotted.co/bertsbackroom
15,(4PM-8PM Hourly) Bert's Back Room Laugh Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-08,4:00 PM,2020-03-08,9:55 PM,False,Open Mic,$5,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon 
Across the hall from original Bert's Back Room
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 4PM-8PM (last 5 min. mic ends 7:55PM)
5 min.
Wait list for walk-ins and drop outs will be first come, first served
Hosted by Rachel Cuthbert",5 min.,https://slotted.co/bertsbackroom
16,(4PM-7PM Hourly) The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-08,4:00 PM,2020-03-08,8:00 PM,False,Open Mic,$3,No,True,True,True,"

Upstairs, down the hall to the left (the brick door).
Sign-up in advance at https://slotted.co/m4l
Mic runs every hour on the hour from 3PM-7PM (last mic ends 8PM)
5 min.
Must be on time
Must stay for whole hour",5 min.,https://slotted.co/m4l
22,ACME Comedy ,ACME Comedy ,Burbank/NoHo/Valley,2020-03-08,5:00 PM,2020-03-08,7:00 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up in advance at http://acmeopenmic.eventbrite.com/
Starts 5PM
5 min.
Hosted by Eric Lewis-Baker and Ahmed Al-kadri",5 min.,http://acmeopenmic.eventbrite.com/
24,Tao Comedy Studio,Tao Comedy Studio,Koreatown/Mid-City,2020-03-08,5:00 PM,2020-03-08,7:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up 4:30PM
Starts 5PM
5 min.
First come, first served
Hosted by Bobbie Oliver",5 min.,
27,The Green Room,The Green Room,Orange County,2020-03-08,6:00 PM,2020-03-08,8:00 PM,False,Open Mic,$5,No,True,True,True,"

in Suite 204
Sign-up in advance at https://slotted.co/gr
Starts 6PM
5 min.
First come, first served
Hosted by Elyse Joseph",5 min.,https://slotted.co/gr
30,The Empire Tavern,The Empire Tavern,Burbank/NoHo/Valley,2020-03-08,6:30 PM,2020-03-08,9:30 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up 5:30PM
Starts 6:30PM
Ends 9:30PM
4 min.
1 min. mini-interview follows your set
First come, first served for 20 spots
5 lottery spots available
Hosted by Zack Vile and Ari Hart",4 min.,
